Год	Ед. Изм.	Страна	Объем
2010	млн штук	Сирийская Арабская Республика	0.045995
2010	млн штук	Суда и бункеры	6e-06
2010	млн штук	Токелау	2e-05
2010	млн штук	Объединенные Арабские Эмираты	0.734402
2010	млн штук	Туркменистан	0.009828
2010	млн штук	Острова Теркс и Кайкос	0.000536
2010	млн штук	Тувалу	7.9853199508498e-06
2010	млн штук	Северные Марианские острова	0.000324
2010	млн штук	Микронезия (Федеративные Штаты)	0.00088
2010	млн штук	Маршалловы Острова	0.000297
2010	млн штук	Палау	0.00151376609288883
2010	млн штук	Папуа-Новая Гвинея	0.0174798571428571
2010	млн штук	Питкэрн	2e-06
2010	млн штук	Саудовская Аравия	0.501052
2010	млн штук	Сьерра-Леоне	-0.00519638335185813
2010	млн штук	Катар	0.105463
2010	млн штук	Гвинея-Бисау	0.000999
2010	млн штук	Российская Федерация	0.686607
2010	млн штук	Руанда	0.003521
2010	млн штук	Остров Святой Елены	0.00011
2010	млн штук	Сент-Китс и Невис	0.000541
2010	млн штук	Ангилья	0.00026
2010	млн штук	Сент-Люсия	0.001718
2010	млн штук	Сен-Пьер и Микелон	0.00027
2011	млн штук	Соединенные Штаты Америки	5.876638
2011	млн штук	Германия	3.0987
2011	млн штук	Франция	2.442956
2011	млн штук	Пакистан	0.798071
2011	млн штук	Соединенное Королевство Великобритании и Северной Ирландии	2.229962
2011	млн штук	Бельгия	1.404958
2011	млн штук	Италия	1.662838
2011	млн штук	Канада	1.150876
2011	млн штук	Австралия	0.732063
2011	млн штук	Турция	0.501287
2011	млн штук	Китай	1.017123
2011	млн штук	Нидерланды	0.74514
2011	млн штук	Швеция	0.334104
2011	млн штук	Польша	0.316193
2011	млн штук	Греция	0.213217
2011	млн штук	Филиппины	0.129416
2011	млн штук	Нигерия	1.775657
2011	млн штук	Австрия	0.429107
2011	млн штук	Япония	0.275796
2011	млн штук	Португалия	0.280683
2011	млн штук	Словакия	0.080228
2011	млн штук	Швейцария	0.36798
2011	млн штук	Республика Корея	0.191304
2011	млн штук	Украина	0.189903
2011	млн штук	Южная Африка	0.068768
2011	млн штук	Таиланд	0.074142
2011	млн штук	Ирландия	0.091697
2011	млн штук	Чехия	0.160999
2011	млн штук	Бразилия	0.815696
2011	млн штук	Новая Зеландия	0.166191
2011	млн штук	Сербия	0.1226
2011	млн штук	Дания	0.222824
2011	млн штук	Гватемала	0.09029
2011	млн штук	Израиль	0.226014
2011	млн штук	Китайский Тайбэй	0.097488
2011	млн штук	Люксембург	0.071144
2011	млн штук	Чили	0.267311
2011	млн штук	Румыния	0.085283
2011	млн штук	Марокко	0.107044
2011	млн штук	Кыргызстан	0.054967
2011	млн штук	Объединенная Республика Танзания	0.058069
2011	млн штук	Норвегия	0.194038
2011	млн штук	Казахстан	0.041949
2011	млн штук	Перу	0.111731
2011	млн штук	Аргентина	0.538314
2011	млн штук	Колумбия	0.21931
2011	млн штук	Финляндия	0.155875
2011	млн штук	Доминиканская Республика	0.026523
2011	млн штук	Зимбабве	0.025047
2011	млн штук	Индонезия	0.154061
2011	млн штук	Эквадор	0.102961
2011	млн штук	Словения	0.097467
2011	млн штук	Гондурас	0.027092
2011	млн штук	Литва	0.165621
2011	млн штук	Малайзия	0.401143
2011	млн штук	Босния и Герцеговина	0.020183
2011	млн штук	Хорватия	0.052917
2011	млн штук	Эфиопия	0.011853
2011	млн штук	Мьянма	0.006604
2011	млн штук	Мозамбик	0.035142
2011	млн штук	Египет	0.094729
2011	млн штук	Болгария	0.093966
2011	млн штук	Кения	0.047613
2011	млн штук	Сальвадор	0.005286
2011	млн штук	Азербайджан	0.035198
2011	млн штук	Коста-Рика	0.077636
2011	млн штук	Лесото	0.00222
2011	млн штук	Таджикистан	0.0589891948924324
2011	млн штук	Панама	0.063972
2011	млн штук	Армения	0.004032
2011	млн штук	Парагвай	0.028972
2011	млн штук	Монголия	0.057579
2011	млн штук	Демократическая Республика Конго	0.0254711712958181
2011	млн штук	Тунис	0.043582
2011	млн штук	Замбия	0.03859
2011	млн штук	Китай, Специальный административный район Гонконг	0.084822
2011	млн штук	Ямайка	0.012686
2011	млн штук	Эстония	0.029114
2011	млн штук	Кипр	0.024857
2011	млн штук	Иордания	6.9e-05
2011	млн штук	Боливия (Многонациональное Государство)	0.076346
2011	млн штук	Сенегал	0.015266
2011	млн штук	Кот-д'Ивуар	0.006529
2011	млн штук	Гана	0.179334
2011	млн штук	Уганда	0.040744
2011	млн штук	Камбоджа	0.031644
2011	млн штук	Уругвай	0.043637
2011	млн штук	Северная Македония	0.040076
2011	млн штук	Исландия	0.007019
2011	млн штук	Буркина-Фасо	0.017101
2011	млн штук	Багамские Острова	0.010681
2011	млн штук	Латвия	0.025517
2011	млн штук	Ботсвана	0.044188
2011	млн штук	Сингапур	0.041375
2011	млн штук	Черногория	0.00982
2011	млн штук	Бахрейн	0.036984
2011	млн штук	Маврикий	0.010117
2011	млн штук	Мавритания	0.013798
2011	млн штук	Республика Молдова	0.00713
2011	млн штук	Гайана	0.008285
2011	млн штук	Индия	0.028707
2011	млн штук	Мальта	0.008762
2011	млн штук	Никарагуа	0.011548
2011	млн штук	Тринидад и Тобаго	0.044154
2011	млн штук	Центральноафриканская Республика	0.001739
2011	млн штук	Габон	0.015696
2011	млн штук	Нигер	0.012357
2011	млн штук	Мадагаскар	0.008455
2011	млн штук	Белиз	0.00057
2011	млн штук	Гамбия	0.00947
2011	млн штук	Бруней-Даруссалам	0.013083
2011	млн штук	Малави	0.008811
2011	млн штук	Либерия	0.00761823573195029
2011	млн штук	Андорра	0.003451
2011	млн штук	Суринам	0.01412
2011	млн штук	Барбадос	0.003775
2011	млн штук	Тимор-Лешти	0.00087725
2011	млн штук	Фиджи	0.002112
2011	млн штук	Эсватини	0.004202
2011	млн штук	Того	0.001831
2011	млн штук	Аруба	0.005048
2011	млн штук	Антигуа и Барбуда	0.0024
2011	млн штук	Французская Полинезия	0.005919
2011	млн штук	Мальдивские Острова	0.000399
2011	млн штук	Остров Норфолк	5.3e-05
2011	млн штук	Сейшельские Острова	0.003093
2011	млн штук	Кабо-Верде	0.001128
2011	млн штук	Сент-Винсент и Гренадины	0.001167
